ExplicitMaxout parameters: 90,965,808
ExplicitMaxout parameters: 121,353,008
['0', '1', '2', '3', '4', '5', '6', '7', '8', '9']
['gretin1', 'cintin1', 'littin1', 'undtin1', 'bartin2', 'horscr1', 'specha3', 'spigua1', 'stwqua1', 'compot1']
[13748, 3711, 3720, 3724, 3706, 712, 9356, 9864, 9049, 8957, 13441, 10390, 9770, 9758, 9769, 9772, 3094, 5483, 7095, 1050, 8001, 5545, 5537, 7760, 14012, 14021, 14016, 14008, 14006, 2685, 7715, 8235, 5290, 8987, 8249, 2177, 4847, 11860, 7803, 4356, 10408, 10406, 2368, 2367, 2108, 3977, 8048, 8049, 8043, 1765, 10463, 471, 1064, 9372, 12707, 4021, 4017, 8643, 4032, 14529, 14523, 14527, 4079, 14494, 10124, 4063, 1411, 11734, 8556, 8569, 8567, 8576, 8577, 6572, 13612, 13626, 13639, 3886, 13448, 10128, 2435, 8537, 331, 5172, 5171, 5175, 3336, 10492, 14196, 8457, 9342, 3492, 5982, 10847, 13808, 13811, 10602, 10606, 6915, 6922, 8495, 7738, 12152, 12673, 8429, 1369, 1374, 11812, 7213, 3280, 10478, 9233, 6833, 9564, 9561, 9574, 2151, 2168, 3924, 14097, 14070, 14094, 4958, 11226, 11228, 1926, 1918, 5791, 3834, 12257, 12262, 13392]
(15120, 165)
Dataset using numpy arrays
Class 0 (pretrain 13748): AUROC=0.819, AP=0.246, positives=15.0
Class 1 (pretrain 3711): AUROC=0.817, AP=0.190, positives=728.0
Class 2 (pretrain 3720): AUROC=0.698, AP=0.112, positives=950.0
Class 3 (pretrain 3724): AUROC=0.826, AP=0.340, positives=667.0
Class 4 (pretrain 3706): AUROC=0.845, AP=0.196, positives=109.0
Class 5 (pretrain 712): AUROC=0.617, AP=0.072, positives=116.0
Class 6 (pretrain 9356): AUROC=0.698, AP=0.002, positives=12.0
Class 7 (pretrain 9864): AUROC=0.659, AP=0.060, positives=71.0
Class 8 (pretrain 9049): AUROC=0.998, AP=0.454, positives=8.0
Class 9 (pretrain 8957): AUROC=0.978, AP=0.658, positives=5.0
Class 10 (pretrain 13441): AUROC=0.812, AP=0.169, positives=97.0
Class 11 (pretrain 10390): AUROC=0.657, AP=0.002, positives=3.0
Class 12 (pretrain 9770): AUROC=0.994, AP=0.276, positives=6.0
Class 13 (pretrain 9758): AUROC=0.890, AP=0.071, positives=32.0
Class 14 (pretrain 9769): AUROC=0.790, AP=0.236, positives=692.0
Class 15 (pretrain 9772): AUROC=0.900, AP=0.281, positives=254.0
Class 16 (pretrain 3094): AUROC=0.913, AP=0.001, positives=2.0
Class 17 (pretrain 5483): AUROC=0.664, AP=0.009, positives=87.0
Class 18 (pretrain 7095): AUROC=0.799, AP=0.264, positives=1181.0
Class 19 (pretrain 1050): AUROC=0.683, AP=0.095, positives=18.0
Class 20 (pretrain 8001): AUROC=0.884, AP=0.130, positives=45.0
Class 21 (pretrain 5545): AUROC=0.678, AP=0.114, positives=173.0
Class 22 (pretrain 5537): AUROC=0.884, AP=0.160, positives=59.0
Class 23 (pretrain 7760): AUROC=0.975, AP=0.724, positives=87.0
Class 24 (pretrain 14012): AUROC=0.936, AP=0.716, positives=303.0
Class 25 (pretrain 14021): AUROC=0.696, AP=0.002, positives=11.0
